ID,Category_EN,Category_AR,Carousel_Group_text_EN,Carousel_Group_text_AR,SubCategory_Text_EN,SubCategory_Text_AR,SubCategory_Subtitle_EN,SubCategory_Subtitle_AR,Categories_Info,Comments,Sheet,Column,PSG_thumbnail_view,PSG_Focus,SubCategory_Focus,Status,SubCategory_thumbnail_Raw,URL__thumbnail_Raw,URL_thumbnail_view,URL_Focus
1,Library,مكتبة,religion,دين,Religion,الدين,[],[],"هنا الدين نورٌ يضيء دروب الروح، إيمانٌ يُشبه الصقرَ في علوه والمطرَ في عطائه الغزير.  
اقرأ أبياتاً تُعبدُ اللهَ بقلبٍ خاشع، تجعل التقوى سيفاً يقطع الظلم ويزرع في النفس جنانَ الآخرة.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_Religion_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_Religion_Focus.jpg,Category_Religion_الدين_Focus,Focus_Live,Category_Religion_الدين_thumbnail_Raw,https://drive.google.com/uc?id=1Dqio1hPEOUJU4tPJWr6a50kKPMKgmyVv&export=download,https://drive.google.com/uc?id=1p_VSreAebClwbkAgva6QxWzb-3FXX3hi&export=download,https://drive.google.com/uc?id=1f8QMt3kbSI4BjrIQza9tN-sgGocw6gXr&export=download
2,Library,مكتبة,sentiments,مشاعر,Emotions,أحاسيس,[],[],"الأحاسيس هنا نبضُ الروحِ الجامح، مزيجٌ من شوقِ العيونِ وسيفِ الحبِّ الذي يجرحُ ويشفي.  
غُصْ في أمواجِها العذبةِ، حيثُ يصبحُ الوجدُ رفيقاً والقلبُ قصيدةً تُحيي الظمأَ بالنُّدِ والخزامى.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_Emotions_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_Emotions_Focus.jpg,Category_Emotions_أحاسيس_Focus,Focus_Live,Category_Emotions_أحاسيس_thumbnail_Raw,https://drive.google.com/uc?id=1e6dR7tR7a5Pn8ltNxgyPHi9sZAW1NdV6&export=download,https://drive.google.com/uc?id=1d2R6llsdAT0-liXJuKWWhv2wYc-ApA0l&export=download,https://drive.google.com/uc?id=1nRSM2GM77UI7gT3ptcfiHUWxenWcYfjZ&export=download
3,Library,مكتبة,places,أماكن,UAE locations,مواقع إماراتية,[],[],"الأماكن هنا ليست جغرافيا، بل ذاكرة تنبض؛ من شموخ ""زعبيل"" إلى رمال ""ليوا"" التي تعشق المطر.  
تجول بين أبيات ترسم الإمارات قصيدة، وتجعل من ترابها تِبراً ومن هوائها حياةً للروح.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_UAE locations_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_UAE locations_Focus.jpg,Category_UAE locations_مواقع إماراتية_Focus,Focus_Live,Category_UAE locations_مواقع إماراتية_thumbnail_Raw,https://drive.google.com/uc?id=1gPOU53Z6fZMujqkMi-vJ5zPqz_9uX1Mw&export=download,https://drive.google.com/uc?id=1MOebF1ktYGls2JV_zxAnN4IWg-0NBIIs&export=download,https://drive.google.com/uc?id=1nwFnFlyHY3fdXPicXHTj5Xk7ToDYFJeG&export=download
4,Library,مكتبة,events,أحداث,UAE Holidays,أعياد الامارات,[],[],"هنا أعياد الإمارات احتفاءٌ بالمجد الزايدي والمحمدي، عيدُ وحدةٍ ينبض بالفخر والأناشيد الشعبية.  
اقرأ أبياتاً تُحيي الفرحَ كمطرٍ في رمال الوطن، تجعل القلبَ يرقصَ مع صقرِ الشموخِ والعزمِ.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_UAE Holidays_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_UAE Holidays_Focus.jpg,Category_UAE Holidays_أعياد الامارات_Focus,Focus_Live,Category_UAE Holidays_أعياد الامارات_thumbnail_Raw,https://drive.google.com/uc?id=1PKxvxIJ3Yc2B3wX7KLkSL2n8FsNkmFtK&export=download,https://drive.google.com/uc?id=1kt6ZYKpTW1KKjS5OROtguWn2B13tOl9q&export=download,https://drive.google.com/uc?id=1Fbv-2bIHHixyn1jLICoVcCeRNspV3ZSH&export=download
5,Library,مكتبة,subjects,مواضيع,Topics,مواضيع,[],[],"هنا تتجلى المواضيع كنخيلٍ متجذّر في تراب الروح، تجمع بين قيادةِ زايدِ وغزلِ العيونِ وسِحرِ الصقرِ والفخرِ الإماراتيِّ.  
اقرأ أبياتاً تُحيي الحكمةَ والشوقَ والشموخَ، فتصبح كلُّ قصيدةِ عِبْرَةً تُعانِقُ السَّمَاءَ والقلبَ.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_Topics_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_Topics_Focus.jpg,Category_Topics_مواضيع_Focus,Focus_Live,Category_Topics_مواضيع_thumbnail_Raw,https://drive.google.com/uc?id=1A-Bl0xJEgoyl_Al_D71nFvAJfW2C9VEu&export=download,https://drive.google.com/uc?id=1WWh31kuQq5i9GW2koUYfxs-PvIu-I4A-&export=download,https://drive.google.com/uc?id=16rkmiZcxwWS3H71sxOlsubm39pxGviNc&export=download
6,Library,مكتبة,People,الشخصيات,People,الشخصيات,[],[],"هنا الأشخاص ليسوا مجرد أسماء، بل رموز حية؛ زايدُ شمسُ وطنٍ، ومحمدُ سيفُ عزمٍ يقطع الصعاب بالحكمة.  
اقرأ أبياتاً تنبض بروابط الدم والفخر، حيث يصبح كل إنسانٌ قصيدةً تعانق السحاب والتاريخ.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/Category_People_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/Category_People_Focus.jpg,Category_People_أشخاص_Focus,Focus_Live,Category_People_أشخاص_thumbnail_Raw,https://drive.google.com/uc?id=1HwFXtklyApmPdxTqUvKvqANDNgP4ELxk&export=download,https://drive.google.com/uc?id=1wcacGiDArk_5TqHN-gaUjRsb6_Ex_VoH&export=download,https://drive.google.com/uc?id=1eSFAunh317AUrjCflKsn4C3dM8GQsBgc&export=download
7,Library,مكتبة,animals,حيوانات,animals,حيوانات,[],[],"الحيوانات هنا إخوة الروح في صحراء الفزاع؛ الصقرُ سيفُ الشموخ، والحِجْنُ رفيقُ الدرب الوعر.  
اقرأ أبياتاً تحاور الطبيعة بلغة النبلاء، فتتعلم الصبرَ من الطير ووفاءَ الإبلَ للقلبِ الثابت.",use Carousel_Group_text_AR/EN as query_key,Images,"Carousel_Group_text_EN, Carousel_Group_text_AR",https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_insects_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_insects_Focus.jpg,animals_insects_حشرات_Focus,Image_issue,animals_insects_حشرات_thumbnail_Raw,https://drive.google.com/uc?id=1YN--rxP2_4aXJeiEQCgkrpR954gLFTrt&export=download,https://drive.google.com/uc?id=1CN0_m6fy6tWdErCI7_zgczv2VKOoZLD6&export=download,https://drive.google.com/uc?id=12n1TndeIVrnc-vKwA906Ae75w0g95M-I&export=download
8,animals,حيوانات,animals,حيوانات,insects,حشرات,animals,حيوانات,"الحشرات في شعر فزاع ليست مجرد زواحف الأرض، بل رموزُ الدهاءِ والحياةِ في صحراءِ الروحِ الخفية.  
غُصْ في أبياتٍ تُحوِّلَ النملَ سيوفَ صَبْرٍ، والنَّحْلَ عَسَلَ حِكْمَةٍ يُشْفِي جُرُوحَ الْقَلْبِ.","use SubCategory_Text_EN/AR as [""query_key""]",Word_search,animals,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_insects_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_insects_Focus.jpg,animals_insects_حشرات_Focus,Focus_Live,animals_insects_حشرات_thumbnail_Raw,https://drive.google.com/uc?id=1YN--rxP2_4aXJeiEQCgkrpR954gLFTrt&export=download,https://drive.google.com/uc?id=1CN0_m6fy6tWdErCI7_zgczv2VKOoZLD6&export=download,https://drive.google.com/uc?id=12n1TndeIVrnc-vKwA906Ae75w0g95M-I&export=download
9,animals,حيوانات,animals,حيوانات,birds,طيور,animals,حيوانات,"الطيورُ هنا إخوةُ الروحِ والشموخِ، تعانقُ هامَ السحبِ وتحاورُ الصقرَ في لغةِ القممِ والعزمِ.  
اقرأَ أبياتاً تُحييُ نبضَ السماءِ، حيثُ يصبحُ الطائرُ مرآةَ الفخرِ والحريةِ لقلوبِ الأحرارِ.","use SubCategory_Text_EN/AR as [""query_key""]",Word_search,animals,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_birds_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_birds_Focus.jpg,animals_birds_طيور_Focus,Focus_Live,animals_birds_طيور_thumbnail_Raw,https://drive.google.com/uc?id=1bFa7OsQ6eoIiPSs445zH2m3G-7jWeGkJ&export=download,https://drive.google.com/uc?id=1KH01Q8oCZk-HRJiffXO5xB7v72_DNgFb&export=download,https://drive.google.com/uc?id=1ulk4TqB7nzWCLf8AzQF8A85y-WRjoSxm&export=download
10,animals,حيوانات,animals,حيوانات,horse,حصان,animals,حيوانات,"الحصان هنا ليس جواداً عادياً، بل روحُ الصحراء وشريكُ الفتى في عزمه، يركض بشموخٍ يعانق رياحَ الدهر ويحمل أسرارَ الوفاء.  
اركبْ مع أبياتِ فزاعَ في سباقِ القلوب، حيث يصبح الجوادُ سيفَ النبل ومفتاحَ المجدِ الأبدي.","use SubCategory_Text_EN/AR as [""query_key""]",Word_search,animals,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_horse_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_horse_Focus.jpg,animals_horse_حصان_Focus,Focus_Live,animals_horse_حصان_thumbnail_Raw,https://drive.google.com/uc?id=1Hq404Mpk2iMTbYrpJsCF1mhraKkWU2BY&export=download,https://drive.google.com/uc?id=1-JoHX_dNVtNIrYS6FvKdBzOQg7GAzQnB&export=download,https://drive.google.com/uc?id=1y6Q5Rd2GyRjdDhDVBo2LtKv06xCGtxAF&export=download
11,animals,حيوانات,animals,حيوانات,wild animals,وحوش برية,animals,حيوانات,"الوحوش البرية هنا رموزُ قسوةِ الطبيعةِ واختبارُ الشجاعةِ، حيثُ الأسدُ صوتُ التحديِ والذئبُ درسٌ في الصيدِ والكمونِ.  
غُصْ في أبياتٍ تُروِضُ الوحشَ بالكلمةِ، فتُحَوِّلُ براريَ الروحِ إلىَ ملاذِ الفخرِ والعِزِّ.","use SubCategory_Text_EN/AR as [""query_key""]",Word_search,animals,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_wild animals_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_wild animals_Focus.jpg,animals_wild animals_وحوش برية_Focus,Focus_Live,animals_wild animals_وحوش برية_thumbnail_Raw,https://drive.google.com/uc?id=1g1T56gOjgOEt7tMnudIqNkKZ0vIwijdO&export=download,https://drive.google.com/uc?id=1LfkojznASfJH7b9M7JNRijDlDOblgdyU&export=download,https://drive.google.com/uc?id=1poCsdqpM6T4tZmgtTizHc79leUmg20D2&export=download
12,animals,حيوانات,animals,حيوانات,cattle,ماشية,animals,حيوانات,"الماشية هنا ليست قطيعاً فحسب، بل أختُ الروح في رمال البراري، تحمل في خطواتها صبرَ الصحراء ووفاءَ الإبلِ الشامِخة.  
اقرأ أبياتاً تُحيي نبضَ الهجنِ والمَرْعَى، حيث يصبح الراعيَ صيداً للحكمةِ والفخرِ الذي يُعْلُو السَّمَاء.","use SubCategory_Text_EN/AR as [""query_key""]",Word_search,animals,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/thumbnail_view/animals_cattle_thumbnail_view.jpg,https://uffjlburuvsnstvgyito.supabase.co/storage/v1/object/public/Diwan_Hamdan/Cateories/Focus/animals_cattle_Focus.jpg,animals_cattle_ماشية_Focus,Focus_Live,animals_cattle_ماشية_thumbnail_Raw,https://drive.google.com/uc?id=1HwBDVToEj_tam7OA-hDbPeQAH_y_ODYW&export=download,https://drive.google.com/uc?id=1Fvkh8xV1gYbTJMLiI--wkzIHFGHvDI--&export=download,https://drive.google.com/uc?id=1iODNY57WynGKTc5Ewnmh-tN5hhw2DJWs&export=download
